corps,titre,avis
produit porter 2 fois avant qu'elles cassent !!! je vous le déconseille ...,arnaque !!!,négatif
Je n ai jamais reçu les boucles d oreilles Il devait y avoir 2 paires dans un colis reçu une seule manque celle-ci Vraiment déçu,Pas sérieux,négatif
encore mauvaise calité,arnaque,négatif
un cadeau test pour ma fille FAN de la série films twilight....agréablement surpris par l'aspect du produit qui a forcément séduit mon enfant...,si vous etes fan des loups...,positif
chaine tres fragile qui a casser au bout de 2 jours! le vendeur me propose un echange en passant par amazon mais amazon ne me propose que le rembourcement! bref j'ai acheter une nouvelle chaine.,fragile,négatif
"J’ai pris ce set pour moi et ma compagne au top, pour moi je n’ai mais pas le pendentif que je trouve trop",Très bon produit,positif
"J’avais reçu le même bracelet pour la fête des grand -Mère il y a un an .Malheureusement il s’est cassé le week-end dernier et cela me peinait .Aussi ,j’ai voulu le remplacer .",Bracelet faisant son effet pour un prix modique .,positif
Cassé même pas deux mois après l achat Hyper déçue Je ne recommande donc pas ce produit,"Pas solide du tout, je ne recommande pas ce bracelet",négatif
Bracelet très bien pour un prix plus que correct et envoie rapide et emballé soigneusement content de mon achat top 👍,Bracelet Manille,positif
Je suis un peu déçu de ces boucles d'oreilles car le petit bijou violet qui il y a au centre est plus petite que sur l'image elle ressort pas beaucoup mais à voir pour la qualité en tout cas pour le prix ça va.,Jolie mais....,positif
C'est un cadeau idéal. Et le rapport qualité/prix est abordable. Très satisfaite de ce produit.,Superbe parure 👍😉,positif
"Super beau j’adore , les bracelets sont un peu grand du coup vue qu’il y a du fil vendu avec , je les Moi même retoucher j’ai retirer 4 perles je crois ou 5 pour qu’ils sont à ma taille car petit poignée",Très mignon pour couple,positif
"Très jolies boucles d’oreilles, je les porte tous les jours 😊 Elles sont classe et je les conseille vivement à toutes les femmes qui aiment les perles.",Elles sont parfaites,négatif
le cristal est beau avec ses nuances de bleu rose vert mais le support ou il est certi est affreux,bof,négatif
"Corresponds à ce que je voulais pour la saint Valentin ,juste un petit reproche ,une fois reçu le charme ,je l'ai trouvé très petit mais bon je suis pas expert et le principal était que ma femme soit contente LOL",Tres Jolie,positif
"Qualité médiocre, très déçu même si le modèle est vraiment joli Dommage !",Dommage,négatif
très bon produit reçu dans les temps,.,positif
Très joli mais élastique très fragile.,Beau bracelet,positif
Joli bijou et le parfum se diffuse très bien,Le parfum et le bijou,positif
"Formellement conforme à la description, mais la photo de présentation ne donnait pas une idée assez précise de l'objet. J'ai donc été déçu par sa taille modeste, malgré une bonne finition.",OK,positif
la chaîne n'est pas solide et le fermoir est nul: il a cédé au bout de 2 utilisations... C'est du chinois quoi!,Très déçu,négatif
J'ai commandé cette parure pour mon mariage et elle est magnifique. On voit bien que ce n'est pas de l'argent mais cela fait son petit effet et ne fait pas du tout toc. À voir la qualité dans le temps,Magnifique,positif
"Tres jolie boucle d`oreilles, conforme a la photo. livre dans le temps, je le recommande. Ca me va parfaitement, vraiment avec le prix rien a faire trop top.",Achat valide,positif
Le fermoir est livré déjà cassé Très déçue Cadeau de Noël reçu très en retard de surcroît Je ne recommande pas,Mauvaise qualité,négatif
produit non reçu à ce jour ?,déçu,négatif
Produit conforme à la commande et de très bonne facture. Produit adaptable à toutes les morphologies. Produit vraiment pas cher.,Produit parfait,positif
"A l'utilisation, je trouve ce présentoir peu pratique. Les mats ne tiennent pas très bien. Impossible de mieux les fixer car on visse à vide. Il sert plus à exposer qu'à l'utiliser tous les jours.",Conception moyenne,négatif
Très beau bijoux pour sa mère,Bijoux,positif
Bjr commande toujours pas reçu pas sérieux toujours en attente de livraison devais être reçu le 27 Janvier gros retard,Mécontentement commande souvent chez vous,négatif
Deçue par l'aspect terne du bracelet. Ne correspond pas à la couleur chaleureuse vue en ligne. Prix non justifié,bracelet bas de gamme,négatif
Difficile de juger elle a noirci en quelques jours et donc bonne à jeter,A ne pas acheter,négatif
"Rien ne prouve que c est du swaroski,!",déçu,négatif
"Déçue par l'envoi du bracelet tourmaline noire reçu sans pochette plastique, directement dans l'enveloppe. Rien n'indiquait que c'était bien de la tourmaline.",Bracelet tourmaline noire,négatif
Bracelet pas solide je suis obligé de le réparer,Contente quand même,négatif
Très joli mais la chaîne ne m arrive pas sur le ventre j ai une grosse poitrine et ducoup ça retombe juste en dessous de la poitrine,Chaine trop courte,négatif
Pour un cheville pour un cadeau moi même,Très belle chaîne solide a voir avec le temp,positif
Très jolie ça change les couleurs sont magnifiques,"Pratique, tiens bien",positif
Très belle pierre si en plus elle protège des énergies négatives c’est top,Belle pierre,positif
Tres joli collier de prime abord mais à la premiere utilisation la ficelle s'est detachée du fermoir et j'ai perdu le demi-pendentif. Je retourne l'objet et demande remboursement.,Mauvaise qualité,négatif
La taille était trop grande (je n’ai pas fait attention) et il a été livré en retard mais bon produit !,Assez contente,négatif
Bien reçu.. .encore merci...il est magnifique... Bonne boutique.. très bien taillé et très beau reflet... Merci beaucoup...je recommande... Et pas chère pour la qualité,Magnifique,positif
Ce Porte Boucles D'oreilles est super il tourne sur lui même .. je trouve ça vraiment pratique ! merci au top,Porte Bijoux,positif
"très beau bijou, à mettre lors d'une belle soirée, de plus les différents modèle apportent de la personnalité, à conseiller",très beau bijou bien fini,positif
Excellent produit Plus petit que je le pensais mais bon produit,Très bon,positif
"Parure médiocre ca vaut vraiment ce prix, ça se voit que c'est de mauvaise qualité Je suis déçue de mon achat qui devait être un cadeau...",Mauvaise qualité,négatif
Cela va faire 1 an que je les ai acheté et ils sont toujours là en bon état ! Ils sont vraiment mignon et s’adapte bien sur les petits poignets !,Super bracelets,positif
Livraison rapide mais déçu du produit tige un peu longue aucune brillance cher pour ce que c'est ....,Piercing nez étoile,négatif
"Petits piercings, à peine coudés, très fins, mais faciles à mettre et à changer. Si tu en perd un c'est pas dramatique vu le prix.",petits mais simples à mettre,positif
Résultat trop artificiel... plus joli sur la photo,Pas terrible,négatif
Ces boucles brillent bien mais ça fait juste cheap. J'ai cru faire une bonne affaire pour les Prime Days et je regrette fortement mon achat. Elles sont en fait trop imposantes et donne immédiatement une impression de bas de gamme.,Très décevant,négatif
Je ne peux noter cette article car pas encore recue,Pas recue,négatif
J'ai trouvé la perle perdue après l'avoir portée pendant quelques jours. Je ne trouve pas ma perle. Je suis très déprimé. La qualité de ce collier est très mauvaise.,La qualité de ce collier est très mauvaise.,négatif
"La taille des perles du bracelet n'est pas conforme à ce qui est indiqué sur la fiche produit. J'ai commandé trois bracelets dans trois teintes différentes, deux sont conformes (perles ok) mais par le troisième (celui a droite sur la photo)",Taille non conforme,négatif
Je n'ai toujours pas reçu ce bracelet ! Merci de faire le nécessaire !,Arrivera-t-Il un jour ?,négatif
"Cadeau prévu pour la fête des mères. Reçu dans les temps mais déçue pour cette première commande car la découpe a mal été faite surtout au niveau du mot ""famille""... Ne recommande pas",Déçue,négatif
Très jolie mais petite boucles d’oreilles et de très bonne qualité. Mme Alexis,Bonne qualité,positif
"Envoi rapide et soigné. Excellent rapport qualité/prix. Entièrement conforme au descriptif et photo du site. Perles parfaitement polies, sans défauts, bien régulières. Très beau rendu. Je recommande cet article",Bracelet véritable oeil de tigre 8 mm,positif
très beau pendentif est livré avec la chaine,super comme cadeau,positif
"Vu le prix on ne pouvait pas s'attendre à de la qualité, cela a vite cassé, et jeté à la poubelle.",Collier fantaisie,négatif
bonjour tres bon produit,johnny,positif
TOUTES PETITES MAIS TRÈS MIGNONNES REÇU RAPIDEMENT JE CONSEILLE PLUS POUR UN ENFANT GGGGG BBBBB BBBB BBB BBB BBBB B,MIGNONNES,positif
"Arrivé dans les délais et bien emballé,",Bon rapport qualité prix,positif
Très belles boucles d'oreilles. Beau rendu. Pas encore portées. Donc à voir si elles ne sont pas trop lourdes... arrivées en très bon état. 2 brillants étaient également dans la boîte mais vu le nombre de brillants sur la boucle c'est un peu léger. Franchement pas déçue du tout,Ravie,positif
"Reçu ce matin, visseries supplémentaires, montage aisé car pièces numérotées chaton hyper heureux quoi de mieux 😂 bref je recommande vivement",Arbre à chat,positif
Pas de fermoir. Faut passer par la main. Déçue,Publicité mensongère,négatif
Offert pour Noël à ma maman qui l'a adoré! Il a tout de suite été adopté. Livré dans une petite pochette,Top,positif
"Ce pendentif est joliment fabriqué, original et porté bien son message d'amour. Par contre je n'ai pas fait attention à sa taille. Il est vraiment trop petit. C'est dommage. Du coup il ne vaut absolument pas son prix ""d'origine"", il a fait de la gonflette mais, à son prix remisé d'une trentaine d'euros ça passe.",Beau bijou mais trop petit,positif
ou est ma commande je devrai le recevoir le 07 mai j ai payé cet article et j ai rien reçue.,collier avec motif de allah,négatif
"Il est tres jolie, mais alors pas solide, c'est tres vite cassé, les perles se detachent , je ne conseille pas.",mauvais achat,négatif
Jolie bracelet femme du plus belle effet peut-être porté pour toute les occasions Je recommande ce bracelet,BRACELET FEMME,positif
Livraison retardé - pas reçus les articles a temps alors que j'avais Amazon PRIME !!!,LIVRAISON RETARDE,négatif
"Beau bracelet, mon mari en est très satisfait, bonne qualité",Très beau,positif
Bof pierres de lave abîmés perles de couleurs avec quelques trous bref déçu ils sont pas aussi jolie que sur la photo,Bracelets,négatif
Très dommage lorsque la personne la ouvert le produit été cassé,Déçu,négatif
"Je recommande, les yeux fermés! J'ai commandé ce bola car je trouvais les motifs sympa! Il est vraiment parfait! /!\ seul gros bémol, la chaîne livrée avec est beaucoup trop petite et n'atteind pas un ventre rond, j'ai du en commander une autre (d'où l'étoile en moins)",Très bien,positif
très jolis conforme à la description,bracelets,positif
DOMMAGE : ARTICLE DES SA RECEPTION POSE AU POIGNET ET QUI S'EST CASSE IMMEDIATEMENT. A PRESENT EST DANS UNE BOITE ET EST INUTILE DESOLEE MAIS MAUVAISE NOTE. ON NE DOIT PAS VENDRE DE LA MAUVAISE QUALITE,ARTICLE DEFECTUEUX,négatif
"Piercing x10 les mêmes !!!! Il n'y en a pas 50 Tres mauvaise qualité Doublons, encire et encore je n'ai eu que 6 piercing différents sur les 50!",FUYEZ,négatif
Reception rapide. Bracelet idem à la photo...ma fille a été heureuse de l'offrir à son petit copain poir la saint Valentin.,Réception rapide bien,positif
Plus jolie en photo très déçu,Bof,négatif
"Première déception en ouvrant la jolie boîte, deuxième déception en les essayant donc vous aurez compris que je suis déçue par ces boucles qui m'auraient emballée si elles avaient été plus sobres et plus mates. Elles brillent trop à mon goût, sinon la longueur, la forme et la finition sont plutôt réussies. Je les garde, car je ne vais pas demander un retour pour si peu et puis elles conviennent pour une sortie en soirée mais pas vraiment pour un look décontracté! Ou alors je peux les offrir à une amie à qui elles iront bien mieux... Elles sont belles malgré tout et ça me chagrine d'autant plus cet aspect brillant, j'aurais vraiment aimé les porter en journée...avec discrétion.","Pas top car trop brillant, légèrement ""clinquant"" même! Un vrai regret...",négatif
"Reçu dans les délais convenu et en bonne état, je trouve que c'est un excellent cadeau à faire à sa petite amie, cependant je trouve que c'est un peu chère.",Très bon produit mais un peu chère,positif
Je n'es pas reçu la commande,Commande non reçu,négatif
nul elles ne retiennent pas du tout les charms obligées de recommander des stop à clips j'espère que ce sera mieux double frais !!!!,perles stop,négatif
"les perles des bracelets ne sont pas de véritables pierres, produits MADE IN CHINA. (au dos de l'emballage).",Déçue,négatif
Mon mari l a adoree dommage trop grande mais très belle et encore merci au graveur,La taille du doigt bien la connaître,positif
Bonjour j'attends toujours le colis alors qu'il est écrit bien reçu. J'aimerais me faire rembourser,Produit non reçu,négatif
Pas déçu ! Du cuire vraiment mais sans trop les odeurs !,Jolie,positif
"J'ai acheté ce bracelet pour mon mari, ça fait une semaine maintenant qu'il le porte, lui n'a pas constaté de différence, moi je trouve qu'il dorme mieux. Je pense qu'il faut le porter sur une plus grande période pour en avoir tous les effets bénéfiques. Quoi qu'il en soit c'est un très beau bracelet, une fois porter il va avec toutes les tenues décontracté ou de bureau. Très pratique le petit outil pour pouvoir régler le bracelet à la bonne taille.",élégant,positif
déçu car trop petit donc renvoyer dommage car il était magnifique pourtant j ai pas de gros poignet impossible de rentre la main dommage qu il ni a pas un peu plus grand car vue le prix vraiment pas cher pour ceux qui on vraiment un petit poignet je le conseil .,déçu,positif
"Très jolies boucles d'oreilles. Je n'en avais jamais portée de ce style, mais ça passe bien si on porte régulièrement des boucles d'oreilles. Elles sont agréables à porter et semblent résistantes pour le moment.",Très bien,positif
tres beau produit et choix des motifs parfaits,parfait!,positif
Bien mais les têtes de bouddha devrait etre revu elle perde les couleurs de or elle passe au rose. Déçu,Decu,négatif
Il est décrit dans l'annonce que c'est de l'acier mais non ! ce serait écrit à l'intérieur de la boucle stainless steel ! hors il n'y a rien et puis j'ai vu dès l'ouverture qu'elles étaient un peu décolorées... donc je retourne ! c'est dommage !,Ce n'est pas de l'acier,négatif
Je peux pas dire mon expérience,Piercing,négatif
"Offert à ma grand-mère qui aime les bijoux discrets, elle a adoré. Très belle qualité. Vendeur extrêmement agréable. Je recommande",Très bien,positif
Belles créoles argentées bien reçues avec une livraison rapide et soignée qui correspond au produit annoncé. Je recommande ce vendeur très sérieux!,Parfaites,positif
piercing énorme je ne peux même pas mettre il n'entre pas en plus de ça ils sont affreux les strass sont collé de travers je ne recommande pas du tout,1 étoile car on ne peux pas mettre 0,négatif
"Dommage qu’il n’y a pas d’emballage Pandora, c’est pas top pour offrir .... sinon le charm est beau 😉",Emballage,positif
très joli cadeau de fête des mère,joli,positif
Je n’ai pas encore reçu cet article.,Article impossible a évaluer,négatif
il est impeccable s’était cadeau pour mon épouse je recommande a tous comme cadeau mais javais de doute quel est en ARGENT PAR CONTRE CENTRE COMMERCIAL AMAZONE MON ASSURER QUEL EST BIEN ARGENT RESTE AFFAIRE DE TEST SUR BRACELET MAIS COMME CADEAU TRÈS BIEN,bracelet magnifique,positif
"La tige des boucles d'oreilles ne va pas resiter longtemps. Pour le prix, bel aspect.",Bien reçu,négatif
"Je suis un peu déçu de la qualité du métal qui dès la semaine suivante ,toute la couleur chrome est parti laissant apparaitre une couleur rouge cuivré.",Déçu,négatif
"J'ai acheté ce produit et je l'aime. Il brillait au soleil. J'ai eu beaucoup de compliments à ce sujet. J'avais peur que cela change de couleur, mais cela ne s'est pas produit. Je ne l'ai jamais enlevé et l'eau n'a jamais été affectée. C'est pas cher et bien. Si vous hésitez encore à acheter, foncez!",Je l'aime!,positif
Montre commander le 23 août n est jamais arrivé !,Nul,négatif
"Bon produit, très esthétique, pour la résistance ont verras au fil du temps , je ne me douche pas avec, car le fournisseur ne donne aucune info dans le descriptif si on peux le mouiller .",Esthétique,positif
Chaîne très très fine. Photo un peu trompeuse. Comme d'hab.,Trop fine,négatif
tres jolie bijoux un peut dommage que la chaine et super grande met j'adore pour faire des cadeaux rien tel memes que sur les photo,jolie,positif
"Objet lourd et solide, par contre le mien est arrivé oxydé sur le plateau et les bords...dommage impossible d'enlever les taches.",Bijoux,négatif
"Très bon collier fidèle à la description, je l’ai commandé pour le frère de ma copine, il est même arrivé avant la date de livraison prévue ! C’est une petite entreprise très sympathique et personnelle, je reviendrai vers eux à l’avenir si je dois recommander via Amazon. A recommander!",Rapport qualité prix imbattable,positif
"J'ai reçu le bracelet dans un beau pochon de velours noir, les perles de Grenat sont vraiment superbes et le petit cœur très class ! Je l'ai acheté pour ma belle fille et je croyais les perles un peu plus grosses mais bon,elle le trouve quand même superbe car elle n'aime pas les grosses perles .",Cadeau raffiné,positif
Trop petite mais très belle,La taille des boucles d'oreilles,négatif
"Adaptées pour des femmes qui ont un cou vraiment immense. Par ailleurs elles font vraiment « cheap ». Je les ai reçu, certains éléments étaient démontés, il a fallu que je les répare.",Trop longues,négatif
"cadeau que j'ai fait à mon mari trés jolie agréable sur la peau , pour l'instant n'a pas changé de couleur étant donné qu'il va au sport tous les jours douche compris, la couleur ne bouge pas.",chaine,positif
"Ma bague a des défauts , elle a des traces de colles bien visible ainsi que l'acier est abîmé à quelques endroits ....",Défauts,négatif
Article très beau. A recommander au niveau de la qualité/prix. Reçu très rapidement. Répond à mes attentes. Je le recommande vivement,bracelet genre pandora,positif
Bijou très joli. Malheureusement il a cassé au bout de quelques jours sans trop de raison ... argent perdu,Déçue,négatif
"Très beau, je l'ai donné en cadeau à mon collègue. elle a adoré ça! C'est tellement vibrant et bien fait. Très heureux avec cet achat, et achètera plus de ce vendeur!",C'est tellement vibrant et bien fait.,positif
Bijou porté une semaine et s'est cassé en deux!!!,qualité médiocre,négatif
"bof,pour le prix c'est pas mal ,mais qualité médiocre",mediocre,positif
Pour les tenues estivales,"Je manque d'expérience,je vous le ferai savoir plus tard",positif
"Ces boucles d'oreilles étaient belles mais extrêmement abordables. Comme ce n’était qu’une partie de ce que je voulais obtenir avec ma femme, je ne pouvais pas en dépenser beaucoup plus, mais je voulais quelque chose de joli mais abordable. Cela a répondu à la facture. Elle aime ça!",Beau mais abordable!,positif
trés decue ne rentre pas j ai due enlever la partie en caoutchouc pour pouvoir les rentrées avec mon bracelet,decue,négatif
modèle sympa mais s'oxyde au bout d'un moment ;dommage,bague,négatif
"Reçu en retard. Les bagues sont sympa mais il a fallu que je les lime car elles ont des points de soudures qui font qu'elles accrochent. Très bof mais bon, pour le prix, je ne vais pas me plaindre.",Sympa mais mal réalisées,négatif
"Je croyais en recevoir plusieurs au moins 4 , en fait j'en ai reçu qu'une!",Manque de précision sur le nombre de pierres,négatif
Très bon produit de bonne qualité et bien ajusté.. très joli une fois mit en place.. discret juste comme il faut ..,Bonne qualité,positif
Ce bijou est bien réalisé et semblable à la photo dans la forme : par contre la couleur est bcp plus pâle.,2e demande de d'évaluation - joli bijou - bien travaillé -,positif
Ce bracelet est très élégant et magnifique. Le bracelet a fière allure avec mon poignet. J'aime ça. Il peut ajuster la longueur à votre taille.C'est important si vous l'achetez en ligne et que vous ne pouvez pas l'essayer ou en faire cadeau. Et cela a l'air bien dans cette conception.,Ce bracelet est très élégant et magnifique.,positif
"Jolie, mais un peu lourdes a mon goût",Bien,positif
bonjours Je ne comprend pas pourquoi ces écrit arrive alors que ce n'est même pas arrivé je comprends rien j'ai une explication merci,que le produit n'est pas encore arrivé,négatif
"R.A.S., bonne qualité.",R.A.S.,positif
Ils ne me quitte plus Ils sont tous sympa et fonctionnel,Magnifique bracelet,positif
"Je suis ravie de cet achat, très joli collier avec un ravissant pendentif, discret mais bien brillant, élegant, tout en finesse...très satisfaite de ce petit ,mais néamoins beau bijou!",article exactement conforme à la description,positif
Elles sont petites La tige se tord facilement,Fragiles,négatif
"Je n’ai jamais reçu l’article, le transporteur a eu le culot de dire qu’il l’avait déposé dans ma boîte aux lettres d’après le statut de ma commande, ce qui est faux. Je ne tolère aucun mensonge. Je suis furieux et je fais de moins en moins confiance à Amazon et encore moins aux transporteurs qui sont de plus en plus négligents",Furieux,négatif
"Je recommande vivement Article conforme à la description Reçu juste dans un petit sachet plastique Chaîne très belle, lumineuse, féminine et solide Depuis que je l'ai elle n'a pas bougé Parfait !!!!",Chaine en argent Amberta,positif
Très belles boucles d’oreilles que j’ai offert à mes petites nièces qui ont voulu les mettre de suite J.ai donc fait 2 heureuses,Très belles boucles d’ore,positif
"J' adore, elle sont très belles.. Livraison rapide. Merci",Trop Belle,positif
"Deux articles achetés, un seul reçu .",Un article sur deux reçu .,négatif
"identique à la photo, c'était pour offrir, la personne étais enchanté, je les recommande à toute celles qui hésite encore",collier,positif
Écriture beaucoup trop petite .. faux limite m’être une loupe pour voir que cet gravée et voir les prenon sinon à par sa la chaîne eh le cœur rien na dire cet super beau domage le gravage ..,Gravure trop petite,négatif
elles sont assorties à un bracelet et un collier que j'avaient déjà. L'image sous la résine est un peu pixellisée dommage. Mais elles restent à mon goût tout de même. De toute façon de loin ça ne se voit pas !,défaut mineur,positif
"Autant le bracelet est une superbe idée comme bracelet de couple, autant ils ne sont pas si robuste que cela. Commande et reçu fin novembre, il n’a pas fallu longtemps pour le bracelet principalement noir pour s’effilocher. 6 mois après l’achat, il a fini par se briser...",Cordage pas très solide,négatif
La chaîne a assez vite cassée. Sans faire rien d’extraordinaire. La chaîne M’est restée dans les mains en voulant enfiler un pull. Qualité moyenne. Même si bel effet.,Joli mais qualité moyenne.,négatif
Ce bracelet n'est pas un bracelet mais un collier la photo est très trompeuse.,Attention à la photo.,négatif
Très jolis bijoux aux formes originales et aux couleurs éclatantes qui constituent un cadeau qui plaît beaucoup...,Collier et boucles d'oreilles,positif
Déçu il manquait une pièce sur l étoile,Déçu,négatif
Chaîne très fine et jolie. Il ne faut pas tirer dessus sinon je pense que cela cédera facilement.,Très bien,positif
À ce jour je n ai toujours pas reçu ma commande j ai contacté votre service je suis toujours en attente,De recevoir ma commande,négatif
Aucun cristal en vue. 25 € pour une boîte en carton et des brillants en plastique ... Très déçue de mon achat et la nette impression de m'être fait avoir.,Le plastique c'est fantastique....,négatif
elle est tout simplement magnifique !!!!! je ne l'ai pas trouvée trop petite contrairement a un autre commentaire elle est juste comme il faut avec un saphir bleu foncé qui au contraire fait plutôt vrai .,BAGUE BLEU,positif
Très déçu car le colis n est jamais arrivé à destination ne recommande pas l achat de cet article,Rien,négatif
"Comme l'article cité en référence ne m'était pas parvenu, j'ai signalé le fait au vendeur par l'intermédiaire d'Amazone. J'ai reçu un collier ce matin identique à un que j'avais reçu précédemment, accompagné de boucles d'oreilles, mais celui -ci est cassé. Mon appréciation est donc défavorable. Veuillez me dire ce que je dois faire maintenant pour obtenir le collier désiré.",Je n'ai pas reçu l'article,négatif
ENCORE POUR MAMAN QUE J'AIME,JOLIE,positif
"Ce produit n'a pas été livré à ce jour , donc très déçue . Je vais devoir acheter cette boite en magasin !",problème de réception,négatif
"Super produit Joliment présenté, dans une Super petite boîte Super mignon, très fin mais vraiment très beau Je recommande vraiment",Super produit,positif
Bague rugueuse du coup reste gênante pour le port sur l'orteil,Bague de doigts de pieds,négatif
L'anneau de fermeture cassé au bout de 3 jours,fermeture,négatif
Produit soit disant livrée DANS ma boîte aux lettre!! Mais malheureusement rien à l'intérieur !! Tres déçu ! JE pense ke c le livreur le fautif!! Mais en attendant JE nest toujour pas les boucles!,Colis non recu!,négatif
collier très beau et super rendu,belle qualite,positif
Rien à voir avec la photo déçu,Déçu,négatif
Déçu. C'est de la céramique et rien d'autre. Ce n'est pas de l'obsidienne.... dommage,Déception,négatif
"C'est un joli modèle, franchement, mais comme l'emballage avait un diamètre inférieur aux boucles je n'ai pas reçu 2 cercles mais 2 je sais pas quoi tout tordus. On a bien rigolé. Amazon a remboursé sans souci",Elles auraient pu être jolies,négatif
"Ce sont de jolies boucles d'oreilles. La qualité est en adéquation avec le prix, je ne penses pas qu'elles vont durer une éternité mais elles sont très mignones.",Jolies boucles d'oreilles,positif
Les perles sont vraiment trop petites pour un bracelet homme...,Pas au top pour un homme !,négatif
"Très agréable au regard, cette fantaisie fait son effet, et surprise, la chaîne de cou est originale. Ce fut un petit cadeau qui a bien plu",Je conseille ce pendentif à toute celles qui veulent faire un cadeau qui sera apprécié,positif
Je suis très content de ce bracelet. Je commande toutes les couleurs que j’aime tellement. Ils étaient beaux et la qualité était extrêmement bonne. Portez-les presque tous les jours.,Je commande toutes les couleurs que j’aime tellement.,positif
"Il vient en trois couleurs. Quand j'ai reçu ce collier, j'ai trouvé la combinaison de ces trois couleurs très laide. Je regrette d'avoir acheté ce collier! !",Sa couleur est moche,négatif
Perle très bas de gamme et certaine son fausse,Nul,négatif
"Tres joli bracelet mais attention, il est très petit.... J ai du le retourner.",Trop petit,positif
"les 3 boites de rangement sont très pratiques. en rond, la concentration de plusieurs compartiments en cercle est très pratique. l'ouverture des compartiments sont facile à ouvrir. un très bon produit.",boites de rangement,positif
"Bien pour Madame, trop fin pour moi",Correspond bien à la description,négatif
Correspond totalement à la description. Semble de bonne qualité pour le prix.comme il s'agissait d'un cadeau je ne peux pas juger au quotidien mais la personne semble ravie,Bon rapport qualité prix,positif
"Pas grand chose à dire. Ni positif, ni négatif. Sablier moyen, bijou moyen, pas de quoi en attendre plus pour ce petit prix.","Oui, bof...",négatif
Produit devant être livré le jeudi 22 et toujours pas reçu. Et toujours annoncé en cours de livraison donc impossible à évaluer...,Commande non réceptionnée,négatif
Très jolie mais une forte odeur de plastique j'ai due le laver plusieurs fois avant de pouvoir retiré cette odeur t'es persistante,Beau mais....,négatif
Bonjour belle montre hélas peu visible et la lumière défectueuse ou marche très peu. pour la première fois je regrette cette achat.,visibilité,négatif
"Moi qui suis allergique à beaucoup de boucles, celles ci ne font aucune réaction Très très contente",Top,positif
Vraiment un très beau bracelet . Les pierres sont très belles.,Super beau au poignet,positif
Les perles sont minuscules et le tour de poignet aussi. Conviendrai seulement à une femme qui a tout petit poignet,Tout petit,négatif
"Ma petite-fille a porté ces 2 bijoux en même temps : le collier avec prénom depuis Noël 2018 le collier avec pendentif depuis Septembre 2018 le collier avec prénom a perdu de son éclat, alors que le 2e est resté identique. Cela se voit très bien sur la photo jointe. Ces 2 bijoux sont en plaqué or et à l'évidence celui avec le prénom a un problème qualité. Je porte donc une réclamation et j'attends votre proposition en retour. Cordialement.",Problème qualité,négatif
Impossible de dévisser une des 6 têtes de piercing. Le pas de vis mâle est sur la tête du piercing et très court: soyez donc très patient.e pour mettre le piercing. Je ne recommande pas.,Soyez très patient.e,négatif
"Rendu et qualité (y compris du fermoir) = IMPECCABLES ! L'ai offerte à mon fils de 21 ans qui ne la quitte plus !! :) Attention ! À mon humble avis, la taille des maillons est plus adaptée à une femme ou un Jeune homme. À vous de voir :p",Attention à la taille des mailles !!,positif
Trop trop grand jai achete un pour ma fillle un pour moi tres decues il est trop grand. Je ne recommande pas,Trop grand,négatif
Joli croix et chaîne . Les prières gravées sur la croix sont invisibles à l'oeil nu . L e colis a été livré dans les temps .,Joli croix et chaîne,positif
Je n'ai jamais reçu ma commande,Commande jamais reçu,négatif
"Stylo reçu cassé , renvoyé et jamais reçu de nouveau . Très très très déçu",Manque de serieux,négatif
"Livraison rapide et produit conforme à la photo, pour un prix tout à fait correct. Je recommande vivement cet article si vous souhaitez faire un cadeau.",A RECOMMANDER,positif
"Jolie boucle d'oreilles hélas très fine, pas très bonne qualité recu 1 cassé donc renvoie le jour même.",Jolie mais fine,négatif
Super déçu. Boîte en carton loin de la belle boîte promise en coquillage. En ouvrant la boîte encore plus de déception une des boucle d'oreille est cassée. Le crochet et la boule sont séparés. Retour oblige,Non conforme à l'annonce et cassé,négatif
Il croche aux vêtements.,Manque de finitions.,négatif
"Collier de qualité médiocre. Le fermoir ferme mal... et ne reste pas fermé. Je ne garde pas l’article, je le renvoie.",Mauvaise qualité,négatif
"Même bague que la blanche, petit prix alors que c'est de la céramique et non du plastique, taille qui correspond, bon achat je ne regrette pas...",BAGUE CERAMIQUE,positif
Je suis déçue car tout est en plastique pour le prix c est de l arnaque en plus l etuit est trop petit le bracelet ne rentre pas dedans,Deçue,négatif
Ne pas acheté de marchandises à ce vendeur ! Les produits n'arrivent pas à destination et le vendeur ne fait rien en faveur de l'acheteur. Je ne le recommande en acun cas !!!,Inadmissible,négatif
Très décu de ce bracelet ! En effet je le porte tous les jours et certaines pierres du bracelet ont des rayures ! alors c est du faux !!! Très très décu ...,bracelet,négatif
Pas du tout le modèle de maille que j ai commandé....La Chaîne Maille Singapour reçu une simple maille....,Déçu...,négatif
Après deux semaines il a gardé tout son éclat et toutes ses pierres.,Très joli,positif
Très satisfaite de mon achats de très bonnes qualités reçu très vite dans un petit écrin a bijoux parfait merci,Très sympa,positif
"Très beau et bien brillant mais un peu sérré, je le conseille aux personnes à poignets bien blanc pour faire ressortir les couleurs du bracelet",Sympa mais sérré,positif
